estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
ACEPTADO;Pendiente_GAS_BLO_64;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-014-40;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_65;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-039-40;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_66;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-186-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_67;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-113-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_68;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-372-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_69;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-255-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_70;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-112-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_71;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-114-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_72;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-237-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_73;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-120-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_74;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-249-37;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_75;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-053-42;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
ACEPTADO;Pendiente_GAS_BLO_76;SI;;30/01/2026;BLO;NAVARRA;AUTOPROTECCION;NATURGY;NEDGIA CYL ;REV PAU GLP-086-47;CLIENTE ANTIGUO;;;1.395,00 €;0;;;;;;;
