estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
ACEPTADO;T OV-20150018;;;08/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;DEPARTAMENTO DE EDUCACION;PAU CP CASCANTE;CLIENTE ANTIGUO;;;1.710,00 €;150;;;;;;;
ACEPTADO;T OV-20150019;;;08/01/2015;IMR;NAVARRA;AUTOPROTECCION;SCPSA;SCPSA;AUTOPROTECCION 2015-2018;CLIENTE ANTIGUO;ES UN CONTRATO DE 4 AÑOS - REPARTIDO POR IGUAL EN LOS 4 AÑOS;;16.625,00 €;;;;;;;;
ACEPTADO;T OV-20150023;;;09/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL ANDALUCIA;AUTOPROTECCION 2015 CO MALAGA;CLIENTE ANTIGUO;;;6.791,00 €;1306;;;;;;;
RECHAZADO;T OV-20150024;;;09/01/2015;IMR;NAVARRA;AUTOPROTECCION;CANAL ISABEL II GESTION;CANAL ISABEL II GESTION;PAU 10 EDAR;CLIENTE ANTIGUO;;;5.800,00 €;580;;;;;;;
ACEPTADO;T OV-2023574;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL NOMWOVENS;CLIENTE ANTIGUO;;;2.287,00 €;128;;;;;;;
ACEPTADO;T OV-20150030;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTAS 1 Y 3;CLIENTE ANTIGUO;;;2.190,00 €;31;;;;;;;
ACEPTADO;T OV-20150031;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTA 2;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
ACEPTADO;T OV-20150032;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL LEVANTINA PLANTA 4;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
ACEPTADO;T OV-20150033;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL CONSERVAS HOLA;CLIENTE ANTIGUO;;;2.287,00 €;128;;;;;;;
ACEPTADO;T OV-20150034;;;12/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL MANUEL MATEO CANDEL;CLIENTE ANTIGUO;;;2.159,00 €;0;;;;;;;
RECHAZADO;T OV-20150037;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;CRISERGAS;CRISERGAS;PRECIOS UNITARIOS AUTOPROTECCION 2015;CLIENTE ANTIGUO;Oferta informativa;;1.575,00 €;250;;;;;;;
RECHAZADO;T OV-20150040;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;SIMA;SIMA;PRECIOS UNITARIOS AUTOPROTECCION 2015;CLIENTE ANTIGUO;Oferta informativa;;1.575,00 €;250;;;;;;;
ACEPTADO;T OV-20150042;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;OSASUNBIDEA;AUTOPROTECCION 2015;CLIENTE ANTIGUO;;;6.115,00 €;200;;;;;;;
ACEPTADO;T OV-20150044;;;13/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL ONDULADOS ANDALUCES;CLIENTE ANTIGUO;;;2.780,00 €;621;;;;;;;
RECHAZADO;T OV-20150055;;;14/01/2015;IMR;NAVARRA;CSTMP;CIUDEN;CIUDEN;CONSEJERO CIUDEN AÑO 2015;CLIENTE ANTIGUO;;;3.200,00 €;500;;;;;;;
ACEPTADO;T OV-20150058;;;14/01/2015;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;ARCHIVO REAL Y GENERAL;PA ARCHIVO REAL;CLIENTE ANTIGUO;;;1.675,00 €;0;;;;;;;
RECHAZADO;T OV-20150065;;;16/01/2015;IMR;NAVARRA;ATEX;IMQ PREVENCION;SALVA INDUSTRIAL;DPCEx SALVA INDUSTRIAL;IMQ;;;1.265,00 €;80;;;;;;;
RECHAZADO;T OV-20150084;;;19/01/2015;RHL;NAVARRA;RIESGOS;HUNTSMAN;HUNTSMAN;SIL 1  LAZO HUNTSMAN;CLIENTE NUEVO;;;1.580,00 €;0;;;;;;;
ACEPTADO;T OV-20150088;;;19/01/2015;IMR;NAVARRA;ATEX;KAIKU CORPORACION ALIMENTARIA;LACTEOS DE NAVARRA;ASESORAMIENTO ATEX;CLIENTE NUEVO;enviado email 3/3/2015;;800,00 €;0;;;;;;;
ACEPTADO;T OV-20150113;;;23/01/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNC EL ESCORIAL;CLIENTE ANTIGUO;;;2.691,00 €;271;;;;;;;
ACEPTADO;T OV-20150115;;;23/01/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNC EL ESCORIAL;CLIENTE ANTIGUO;;;1.550,00 €;0;;;;;;;
ACEPTADO;T OV-20150119;;;26/01/2015;IMR;NAVARRA;SEVESO;CEPSA;CEPSA COMERCIAL PETROLEO;REV PEI GLP CARTAGENA;CLIENTE ANTIGUO;;;1.675,00 €;0;;;;;;;
ACEPTADO;T OV-20150124;;;26/01/2015;RHL;NAVARRA;RIESGOS;CERNEY;CERNEY;CERNEY ENDESA;CLIENTE ANTIGUO;;;3.520,00 €;0;;;;;;;
ACEPTADO;T OV-20150132;;;27/01/2015;IMR;NAVARRA;AUTOPROTECCION;HAM;HAM;REV PA HAM GNL YUDIGAR;CLIENTE ANTIGUO;;;1.950,00 €;150;;;;;;;
ACEPTADO;T OV-20150151;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOLAR ALVARADO AE;CLIENTE ANTIGUO;;;1.500,00 €;;;;;;;;
ACEPTADO;T OV-20150152;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;TERMOSOLAR ALVARADO;CS TERMOSOLAR ALVARADO SV;CLIENTE ANTIGUO;;;816,00 €;;;;;;;;
ACEPTADO;T OV-20150153;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOLAR MAJADAS AE;CLIENTE ANTIGUO;;;1.419,00 €;;;;;;;;
ACEPTADO;T OV-20150154;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;TERMOSOLAR MAJADAS;CS TERMOSOLAR MAJADAS SV;CLIENTE ANTIGUO;;;764,00 €;;;;;;;;
ACEPTADO;T OV-20150155;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOLAR PR1 AE;CLIENTE ANTIGUO;;;1.489,00 €;;;;;;;;
ACEPTADO;T OV-20150156;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;TERMOSOLAR PALMA SAETILLA;CS TERMOSOLAR PR1 SV;CLIENTE ANTIGUO;;;912,00 €;;;;;;;;
ACEPTADO;T OV-20150157;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOALR PR2 AE;CLIENTE ANTIGUO;;;1.489,00 €;;;;;;;;
ACEPTADO;T OV-20150158;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;TERMOSOLAR PALMA SAETILLA;CS TERMOSOLAR PR2 SV;CLIENTE ANTIGUO;;;912,00 €;;;;;;;;
ACEPTADO;T OV-20150159;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS TERMOSOLAR ORELLANA AE;CLIENTE ANTIGUO;;;1.149,00 €;;;;;;;;
ACEPTADO;T OV-20150160;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;RUSTICAS VEGAS ALTAS;CS TERMOSOLAR ORELLANA SV;CLIENTE ANTIGUO;;;1.149,00 €;;;;;;;;
ACEPTADO;T OV-20150161;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS BIO  AE;CLIENTE ANTIGUO;;;1.446,00 €;;;;;;;;
ACEPTADO;T OV-20150162;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;BIOMASA ;CS BIO  SV;CLIENTE ANTIGUO;;;1.447,00 €;;;;;;;;
ACEPTADO;T OV-20150163;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS BIO BRIVIESCA AE;CLIENTE ANTIGUO;;;1.500,00 €;;;;;;;;
ACEPTADO;T OV-20150164;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;BIOMASA BRIVIESCA;CS BIO BRIVIESCA SV;CLIENTE ANTIGUO;;;1.186,00 €;;;;;;;;
ACEPTADO;T OV-20150165;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;ACCIONA ENERGIA;CS BIO SANGÜESA AE;CLIENTE ANTIGUO;;;857,00 €;;;;;;;;
ACEPTADO;T OV-20150166;;;29/01/2015;IMR;NAVARRA;CSTMP;ACCIONA;BIOMASA SANGÜESA;CS BIO SANGÜESA SV;CLIENTE ANTIGUO;;;857,00 €;;;;;;;;
RECHAZADO;T OV-20150177;;;02/02/2015;IMR;NAVARRA;AUTOPROTECCION;NOVAGAS CRIOGENIA;NOVAGAS CRIOGENIA;PAU UNITARIOS NOVAGAS CRIOGENIA;CLIENTE NUEVO;Oferta informativa;;1.950,00 €;;;;;;;;
ACEPTADO;T OV-20150195;;;03/02/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA ;GAS NATURAL FENOSA GENERACION;IMPLANTACION CT NARCEA;CLIENTE ANTIGUO;;;4.349,00 €;1168;;;;;;;
ACEPTADO;T OV-20150210;;;05/02/2015;IMR;NAVARRA;ATEX;CORREOS;CORREOS;SERVICIOS ATEX CORREOS;CLIENTE NUEVO;;;5.600,00 €;600;;;;;;;
ACEPTADO;T OV-20150213;;;05/02/2015;MAP;NAVARRA;LOTO;SAICA;SAICA PACK;CONSIGNACION PILOTO MASTERFLEX;CLIENTE NUEVO;;;730,00 €;80;;;;;;;
ACEPTADO;T OV-20150253;;;11/02/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;UPSTREAM;PAU OBRA PERFORACION MARISMAS Y RINCON;CLIENTE NUEVO;;;1.759,00 €;313;;;;;;;
ACEPTADO;T OV-20150262;;;12/02/2015;MAP;NAVARRA;LOTO;JOHN DEERE;JOHN DEERE;1215 Y LOTO NUEVOS EQUIPOS TT - FASE 1;CLIENTE ANTIGUO;;;2.960,00 €;2160;;;;;;;
ACEPTADO;T OV-20150266;;;12/02/2015;IMR;NAVARRA;ATEX;CINFA;CINFA;REV DPCEx CINFA GRANULADORA 4;CLIENTE ANTIGUO;;;550,00 €;;;;;;;;
ACEPTADO;T OV-20150280;;;16/02/2015;MAP;NAVARRA;LOTO;PEPSICO;PEPSICO IBERIA;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;226,20 €;154;;;;;;;
ACEPTADO;T OV-20150282;;;16/02/2015;IMR;NAVARRA;OTROS;AYUNTAMIENTO PAMPLONA;AYUNTAMIENTO PAMPLONA;MEJORAS NOE;CLIENTE ANTIGUO;;;1.600,00 €;0;;;;;;;
ACEPTADO;T OV-20150297;;;18/02/2015;IMR;NAVARRA;APQ;ACCIONA;TERMOSOLAR ALVARADO;REVISION ANUAL APQ Y SIMULACRO;CLIENTE ANTIGUO;;;940,00 €;0;;;;;;;
ACEPTADO;T OV-20150316;;;19/02/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;PAU GNL TALAMANCA;CLIENTE ANTIGUO;;;2.691,00 €;271;;;;;;;
RECHAZADO;T OV-20150318;;;19/02/2015;IMR;NAVARRA;OTROS;VISCOFAN;VISCOFAN;ANUAL VISCOFAN;CLIENTE ANTIGUO;;;9.450,00 €;250;;;;;;;
ACEPTADO;T OV-20150297;;;23/02/2015;IMR;NAVARRA;APQ;ACCIONA;RUSTICAS VEGAS ALTAS;REVISION ANUAL APQ Y SIMULACRO;CLIENTE ANTIGUO;;;1.390,00 €;0;;;;;;;
ACEPTADO;T OV-20150320;;;23/02/2015;MAP;NAVARRA;LOTO;TOMELLAVES;TOMELLAVES;SUMINISTRO LOTO;CLIENTE NUEVO;;;115,06 €;88;;;;;;;
RECHAZADO;T OV-20150380;;;26/02/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;REV PAU CC BESOS;CLIENTE ANTIGUO;;;1.795,00 €;418;;;;;;;
RECHAZADO;T OV-20150381;;;26/02/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;IMPLANTACION PAU CC BESOS;CLIENTE ANTIGUO;;;3.231,00 €;620;;;;;;;
ACEPTADO;T OV-20150383;;;26/02/2015;RHL;NAVARRA;RIESGOS;CERNEY;CERNEY;REV SIL CERNEY HITACHI;CLIENTE ANTIGUO;;;990,00 €;0;;;;;;;
RECHAZADO;T OV-20150390;;;27/02/2015;MAP;NAVARRA;LOTO;COBRA ;COBRA INSTALACIONES Y SERVICIOS;SUMINISTRO LOTO;CLIENTE NUEVO;;;656,25 €;441;;;;;;;
ACEPTADO;T OV-20150297;;;02/03/2015;IMR;NAVARRA;APQ;ACCIONA;TERMOSOLAR PALMA SAETILLA;REVISION ANUAL APQ Y SIMULACRO;CLIENTE ANTIGUO;8 apq y 1 sim;;1.690,00 €;0;;;;;;;
ACEPTADO;T OV-20150297;;;02/03/2015;IMR;NAVARRA;APQ;ACCIONA;TERMOSOLAR MAJADAS;REVISION ANUAL APQ Y SIMULACRO;CLIENTE ANTIGUO;1 apq y 1 sim;;640,00 €;0;;;;;;;
RECHAZADO;T OV-20150412;;;03/03/2015;MAP;NAVARRA;LOTO;ELECTRO SALVALUZ;ELECTRO SALVALUZ;SUMINISTRO DE MATERIAL LOTO;CLIENTE NUEVO;;;716,50 €;478;;;;;;;
RECHAZADO;T OV-20150423;;;03/03/2015;IMR;NAVARRA;ATEX;PUMA ENERGIA ESPAÑA;PUMA ENERGIA ESPAÑA;DPCEx GNL PUMA ENERGIA ESPAÑA;CLIENTE NUEVO;enviado email 26/3/15;;2.100,00 €;360;;;;;;;
RECHAZADO;T OV-20150426;;;03/03/2015;MAP;NAVARRA;LOTO;SAICA;SAICA PACK;ELABORACION FICHAS DE BLOQUEO Y SUMINISTRO DE MATERIALES;CLIENTE NUEVO;Hay partidas alzadas;;;;;;;;;;
RECHAZADO;T OV-20150434;;;04/03/2015;IMR;NAVARRA;CSTMP;PAMPLONICA;PAMPLONICA;CS PAMPLONICA;CLIENTE NUEVO;Por precio. Oferta ganadora 450 €;;750,00 €;0;;;;;;;
RECHAZADO;T OV-20150439;;;05/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;IMPLANTACION 2015 CT MEIRAMA;CLIENTE ANTIGUO;;;4.801,00 €;1620;;;;;;;
ACEPTADO;T OV-20150449;;;05/03/2015;IMR;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PEI GNL VEGENAT;CLIENTE ANTIGUO;;;3.849,00 €;621;;;;;;;
ACEPTADO;T OV-20150450;;;05/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;REV PAU + IMPLANTACION CC CARTAGENA;CLIENTE ANTIGUO;;;5.334,00 €;1346;;;;;;;
RECHAZADO;T OV-20150452;;;05/03/2015;IMR;NAVARRA;CSTMP;GILTXAURDI S.L.;GILTXAURDI S.L.;CS GILTXAURDI;CLIENTE NUEVO;por precio. Oferta ganadora 420 €;;650,00 €;20;;;;;;;
ACEPTADO;T OV-20150489;;;10/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNL ZARZALEJOS;CLIENTE ANTIGUO;;;2.691,00 €;271;;;;;;;
ACEPTADO;T OV-20150490;;;10/03/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNL ZARZALEJOS;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20150502;;;11/03/2015;IMR;NAVARRA;MEDIO AMBIENTE;GAS NATURAL FENOSA;GAS NATURAL CASTILLA LA MANCHA;IPSS PLANTAS GNL;CLIENTE ANTIGUO;;;3.575,00 €;0;;;;;;;
RECHAZADO;T OV-20150504;;;11/03/2015;IMR;NAVARRA;MEDIO AMBIENTE;GAS NATURAL FENOSA;GAS NAVARRA;IPSS PLANTAS GNL;CLIENTE ANTIGUO;;;325,00 €;0;;;;;;;
RECHAZADO;T OV-20150505_B;;;11/03/2015;IMR;NAVARRA;SEVESO;CIUDEN;CIUDEN;IMPLANTACION PEI CIUDEN 2015;CLIENTE ANTIGUO;;;4.260,00 €;1260;;;;;;;
ACEPTADO;T OV-20150529;;;11/03/2015;IMR;NAVARRA;AUTOPROTECCION;CORREOS;CORREOS;FORMACION AUTOPROTECCION 16 HORAS;CLIENTE ANTIGUO;;;2.550,00 €;350;;;;;;;
ACEPTADO;T OV-20150551_A;;;17/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNC ARAVACA;CLIENTE ANTIGUO;;;1.976,00 €;141;;;;;;;
RECHAZADO;T OV-20150554_A;;;17/03/2015;RHL;NAVARRA;RIESGOS;TECNICAS REUNIDAS;TECNICAS REUNIDAS;HAZOP TR CCC LOS MINA;CLIENTE NUEVO;Otro proveedor más barato;;17.460,00 €;2900;;;;;;;
ACEPTADO;T OV-20150559;;;17/03/2015;IMR;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS NATURAL DISTRIBUCION;REV PEI + IMPLANTACION TABICESA;CLIENTE ANTIGUO;;;4.805,00 €;1137;;;;;;;
ACEPTADO;T OV-20150561;;;17/03/2015;IMR;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS NATURAL ANDALUCIA;IMPLANTACION GNL CADIZ;CLIENTE ANTIGUO;;;1.714,00 €;693;;;;;;;
ACEPTADO;T OV-20150567;;;18/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNC VILLAVERDE;CLIENTE ANTIGUO;;;1.976,00 €;141;;;;;;;
ACEPTADO;T OV-20150568;;;18/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PA GNC VICALVARO;CLIENTE ANTIGUO;;;1.976,00 €;141;;;;;;;
RECHAZADO;T OV-20150569;;;18/03/2015;RHL;NAVARRA;RIESGOS;HUNTSMAN;HUNTSMAN;ESTUDIO SIS LAZO NUEVO;CLIENTE NUEVO;;;2.900,00 €;0;;;;;;;
RECHAZADO;T OV-20150576;;;18/03/2015;MAP;NAVARRA;LOTO;TEKNO SERVICE;TEKNO SERVICE;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;740,00 €;493;;;;;;;
ACEPTADO;T OV-20150590;;;23/03/2015;IMR;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;1254 GNL HOSPITAL DE LUGO;CLIENTE ANTIGUO;;;4.044,00 €;555;;;;;;;
ACEPTADO;T OV-20150591;;;23/03/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNL HOSPITAL DE LUGO;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
RECHAZADO;T OV-20150593;;;23/03/2015;IMR;NAVARRA;ATEX;ARTESANIAS JIMAN;ARTESANIAS JIMAN;DPCEx ARTESANIAS JIMAN;CLIENTE ANTIGUO;otro proveedor: su mutua;;1.750,00 €;150;;;;;;;
RECHAZADO;T OV-20150594;;;23/03/2015;IMR;NAVARRA;ATEX;AENOR;AENOR;CURSOS ATEX;CLIENTE ANTIGUO;PRESUPUESTO CURSOS SEGÚN DEMANDA;;                 -   €;;;;;;;;
ACEPTADO;T OV-20150596;;;23/03/2015;IMR;NAVARRA;ATEX;ECOINTEGRA;ECOINTEGRA;DPCEx PLANTA AOIZ;CLIENTE NUEVO;;;1.950,00 €;50;;;;;;;
RECHAZADO;T OV-20150596;;;23/03/2015;IMR;NAVARRA;ATEX;ECOINTEGRA;ECOINTEGRA;REVISION DPCEx;CLIENTE NUEVO;;;775,00 €;50;;;;;;;
RECHAZADO;T OV-20150611;;;24/03/2015;MAP;NAVARRA;APQ;CONSESUR;CONSESUR;MEMORIA TECNICA APQ;CLIENTE NUEVO;;;2.280,00 €;110;;;;;;;
ACEPTADO;T OV-20150613;NO;;24/03/2015;IMR;NAVARRA;CSTMP;HEINZ;HEINZ MANUFACTURING SPAIN;CSTMP HEINZ;CLIENTE ANTIGUO;;;1.450,00 €;100;;;;;;;
ACEPTADO;T OV-20150618;;;24/03/2015;IMR;NAVARRA;ATEX;PIENSOS ARTOA;PIENSOS ARTOA;DPCEx PIENSOS ARTOA;CLIENTE NUEVO;VIENE A TRAVES DE APM PREVENCION;;1.200,00 €;50;;;;;;;
ACEPTADO;T OV-20150620;;;24/03/2015;IMR;NAVARRA;ATEX;PIENSOS SAIOA;PIENSOS SAIOA;DPCEx PIENSOS SAIOA;CLIENTE NUEVO;;;1.200,00 €;75;;;;;;;
ACEPTADO;T OV-20150625;;;25/03/2015;IMR;NAVARRA;CSTMP;UTE MANTENIMIENTO MORON;UTE MANTENIMIENTO MORON;CS UTE MANTENIMIENTO MORON;CLIENTE NUEVO;;;1.400,00 €;170;;;;;;;
ACEPTADO;T OV-20150638_A;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REV PAU + REV REGISTRO + IMPLANTACION ST HORNILLOS;CLIENTE ANTIGUO;;;2.175,00 €;228;;;;;;;
ACEPTADO;T OV-20150641_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REV PAU + REV REGISTRO + IMPLANTACION ST ANDAYA;CLIENTE ANTIGUO;;;2.175,00 €;228;;;;;;;
ACEPTADO;T OV-20150642_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REV PAU + REV REGISTRO + IMPLANTACION T. ALMAZAN;CLIENTE ANTIGUO;;;2.175,00 €;228;;;;;;;
ACEPTADO;T OV-20150643_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REV PAU + IMPLANTACION T. CINCA MEDIO;CLIENTE ANTIGUO;;;1.914,00 €;228;;;;;;;
ACEPTADO;T OV-20150644_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;ENERALCO;IMPLANTACION ENERALCO;CLIENTE ANTIGUO;;;1.239,00 €;408;;;;;;;
ACEPTADO;T OV-20150645_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;JGC COGENERACION DAIMIEL;IMPLANTACION DAIMIEL;CLIENTE ANTIGUO;;;1.239,00 €;408;;;;;;;
ACEPTADO;T OV-20150646_a;;;26/03/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;UTE CNE LA ENERGIA;IMPLANTACION GOMEZ ULLA;CLIENTE ANTIGUO;;;1.159,00 €;328;;;;;;;
ACEPTADO;T OV-20150664;;;30/03/2015;IMR;NAVARRA;ATEX;HAM;HAM;DPCEx UNIDAD MOVIL GNL;CLIENTE ANTIGUO;;;2.200,00 €;200;;;;;;;
RECHAZADO;T OV-20150681;;;01/04/2015;IMR;NAVARRA;CSTMP;MANCOMUNIDAD RSU RIBERA ALTA NAVARRA;MANCOMUNIDAD RSU RIBERA ALTA NAVARRA;CS MANCOMUNIDAD RSU RIBERA ALTA NAVARRA;CLIENTE NUEVO;;;600,00 €;50;;;;;;;
ACEPTADO;T OV-20150719;;;10/04/2015;IMR;NAVARRA;AUTOPROTECCION;VISCOFAN;VISCOFAN;REVISION E AIMPLANTACION PAU;CLIENTE ANTIGUO;;;2.200,00 €;50;;;;;;;
ACEPTADO;T OV-20150720;;;10/04/2015;IMR;NAVARRA;ATEX;JOHN DEERE;JOHN DEERE;REV DPCEx;CLIENTE ANTIGUO;;;2.350,00 €;200;;;;;;;
RECHAZADO;T OV-20150721;;;10/04/2015;IMR;NAVARRA;CSTMP;UTE MANTENIMIENTO OLIVENZA;UTE MANTENIMIENTO OLIVENZA;CS UTE MANTENIMIENTO OLIVENZA;CLIENTE NUEVO;;;1.440,00 €;170;;;;;;;
RECHAZADO;T OV-20150724;;;10/04/2015;IMR;NAVARRA;ATEX;TRW;TRW;CURSO ATEX;CLIENTE NUEVO;;;750,00 €;0;;;;;;;
RECHAZADO;T OV-20150728;;;10/04/2015;RHL;NAVARRA;RIESGOS;INTECSA INARSA;INTECSA INARSA;AR INTECSA PERU;CLIENTE ANTIGUO;;;33.000,00 €;2074;;;;;;;
RECHAZADO;T OV-20150732;;;13/04/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;ATEX GNF GENERACION;CLIENTE ANTIGUO;;;54.915,00 €;6020;;;;;;;
ACEPTADO;T OV-20150736;;;13/04/2015;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNL TALAMANCA;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20150737;;;13/04/2015;IMR;NAVARRA;ATEX;GAMESA;GAMESA EOLICA;DPCEx GAMESA SOMOZAS PINTURA;CLIENTE ANTIGUO;;;1.530,00 €;350;;;;;;;
ACEPTADO;T OV-20150796_A;;;17/04/2015;IMR;NAVARRA;ATEX;ACCIONA;ACCIONA ENERGIA;CURSOS ATEX TS ORELLANA;CLIENTE ANTIGUO;;;1.850,00 €;300;;;;;;;
ACEPTADO;T OV-20150802;;;20/04/2015;IMR;NAVARRA;ATEX;HAM;HAM;DPCEx UNIDAD MOVIL GNL UMR06;CLIENTE ANTIGUO;;;2.200,00 €;100;;;;;;;
ACEPTADO;T OV-20150813;;;22/04/2015;IMR;NAVARRA;AUTOPROTECCION;HAM;HAM;PAU PSR GNL PRATS DE LLUÇANES;CLIENTE ANTIGUO;;;1.825,00 €;100;;;;;;;
ACEPTADO;T OV-20150819;;;22/04/2015;IMR;NAVARRA;AUTOPROTECCION;BRAVO-E;BRAVO-E;REV. PAU AMPUERO;CLIENTE NUEVO;;;2.100,00 €;150;;;;;;;
ACEPTADO;T OV-20150823;;;23/04/2015;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PAU GNL VALDETORRES MRG;CLIENTE ANTIGUO;;;2.691,00 €;271;;;;;;;
