Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
4132;T OV-20261301;T25-SIN-07-1664;PUNTUAL;sep-25;feb-26;RAP;JDR;*REV ME VAD ESTACIÓN;AUTOPROTECCION;NATURGY;NATURGY ENERGY GROUP;1.400,00 €;168,00 €;20,53;7,25;4,28;16,25;79,14;0;0;0;0;3;0;0;0;0;0;0;0;0;0;6;0;0;0;;;CLIENTE;22/04/2026;SI;30/04/2026;;2026002299;;;;
4133;T OV-20261299;T22-SIN-07-1213;PUNTUAL;may-26;dic-26;RAP;RAP;ANEXO PAU +PAIF CH TALARN (196);AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;50,00 €;37,5;0;37,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;NO;;;;;;;
4134;;T25-SIN-07-1686;PUNTUAL;sep-25;oct-25;BLO;MMB;REV PAU GLP-163-25, GLP-047-25, GLP-169-25, GLP-050-25 y GLP-056-25;;;;6.975,00 €;600,00 €;106,25;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PRW;LAR;CLIENTE;;NO;;;;;;;
4135;;T15-SIN-08-00738;PUNTUAL;sep-25;oct-25;BLO;MMB;V531 MMB;;;;1.122,30 €;280,00 €;14,04;40,25;;40,25;286,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CPV;;NO NECESARIO;;SI;;;;;;;
4136;;;PUNTUAL;oct-25;nov-25;CPV;CPV;RIESGOS BESS IBERIA ;;;;7.420,00 €;2.000,00 €;90,33;0;89,83;0,5;0,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;BLO;;;;NO;;;;;;;
4137;T OV-20255209;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*01_REV PAU + PAIF FV SAN ANTONIO;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;138,00 €;36,03;23;;26,5;73,54;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0,5;AEL;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4138;T OV-20255210;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*02_REV PAU + PAIF FV TORRE PALMA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;138,00 €;36,03;19,5;;21,5;59,67;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;AEL;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4139;T OV-20255211;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*03_REV PAU + PAIF FV CASAQUEMADA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;138,00 €;36,03;15,75;16,28;19,75;54,81;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;AEL;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4140;T OV-20255212;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*208_REV PAU + PAIF FV AZNALCOLLAR;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;-   € ;38,33;45,65;0;46,15;120,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;AEL;;CLIENTE;28/01/2026;SI;31/01/2026;;2026000263;;;;
4141;T OV-20255207;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*39_REV PAU + PAIF FV DULCINEA;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;138,00 €;36,03;3,5;26,53;9,5;26,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;AEL;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4142;T OV-20255208;T22-SIN-07-1213;PUNTUAL;oct-25;ene-26;AEL;HMR;*40_REV PAU + PAIF FV ALJARAFE;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;138,00 €;36,03;3;31,03;5;13,88;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0,5;AEL;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4143;;T15-SIN-08-00738;PUNTUAL;oct-25;nov-25;BLO;MMB;V539 MMB;;;;6.889,10 €;211,62 €;111,29;49,75;0;144,5;129,84;0;0;0;0;0;0;0;94,75;0;0;0;0;0;0;0;0;0;0;;;NO NECESARIO;;SI;;;;;;;
4144;;T15-SIN-08-00738;PUNTUAL;oct-25;dic-25;BLO;MMB;V530 BLO MMB;;;;4.919,60 €;-   € ;81,99;141;0;141;171,97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;NO NECESARIO;;SI;;;;;;;
4145;T OV-20256939;T25-SIN-07-1683;PUNTUAL;oct-25;dic-25;BLO;PRW;*N=1 SIM CYL GLP-036-09 +;IMPLANTACION;NATURGY;NEDGIA CYL ;930,25 €;150,00 €;13;15,25;0;17,25;132,65;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;BLO;;CLIENTE;31/01/2026;SI;31/01/2026;;;;;;
4146;T OV-20254905;T25-SIN-11-4477;PUNTUAL;nov-25;jun-26;JMR;JML;AFS GALLO;S. ELECTRICOS;VIDRALA;VIDRALA GALLO;10.280,00 €;50,00 €;170,5;48;122;48,5;28,45;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
4147;T OV-20254906;T25-SIN-11-4478;PUNTUAL;nov-25;jun-26;JMR;AVC;AFS SANTOS BAROSA;S. ELECTRICOS;VIDRALA;VIDRALA SANTOS BAROSA;10.280,00 €;50,00 €;170,5;40;130,5;40;23,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
4148;;;PUNTUAL;;;BLO;BLO;IS/PEI ATLAS CEUTA;;;;400,00 €;-   € ;6,67;0;4,42;2,25;33,75;0;0;0;0;0;0;2,25;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
4149;T OV-20255976;T17-SIN-07-0497;PUNTUAL;dic-25;dic-25;DPV;DPV;*REV PEI CD MAHÓN;SEVESO;ENEL GREEN POWER;ENDESA GENERACION;5.110,00 €;306,60 €;80,06;53,5;21,56;58,5;73,07;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;;;CLIENTE;22/01/2026;SI;31/01/2026;;2026000540;;;;
4150;T OV-20254450;T15-SIN-01-1419;PUNTUAL;sep-25;dic-25;BRL;ELA;*DPCEX COGERSA;ATEX;FCC ;FCC AQUALIA;1.825,00 €;250,00 €;26,25;8,5;2,75;23,5;89,52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;;;EMAIL;13/02/2026;SI;28/02/2026;;2026001053;;;;
4151;T OV-20253422;T26-SIN-11-0506;PUNTUAL;dic-25;mar-26;JMR;JMR;AFS PAPERTECH TUDELA;S. ELECTRICOS;PAPERTECH;PAPERTECH;7.436,00 €;40,00 €;123,27;0;105,27;18;14,6;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;EMAIL;;NO;;;;;;;
4152;T OV-20254979;T25-SIN-01-3854;PUNTUAL;sep-25;dic-25;BRL;BRL;*REV DPCEX IMQ TATA STEEL;ATEX;IMQ;TATA STEEL;1.090,00 €;96,00 €;16,57;8,5;0;20;120,72;0;0;0;11,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;EMAIL;20/02/2026;SI;28/02/2026;;2026000944;;;;
4153;T OV-20251207;T25-SIN-01-3954;PUNTUAL;oct-25;dic-25;BRL;BRL;*DPCEx IMQ EDAR CRISPIJANA;ATEX;IMQ PREVENCION;EDAR CRISPIJANA;1.720,00 €;70,00 €;27,5;0;9,5;18;65,45;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;EMAIL;31/03/2026;SI;31/03/2026;;2026001815;;;;
4154;T OV-20261294;T22-SIN-07-1213;PUNTUAL;may-26;dic-26;RAP;RAP;ANEXO PAU +PAIF CH FLIX (192);AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.300,00 €;50,00 €;37,5;0;37,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RAP;;CLIENTE;;NO;;;;;;;
4155;T OV-20255612;T25-SIN-07-1686;PUNTUAL;oct-25;nov-25;BLO;MMB;*PAU CANALIZACION BIOMETANO TARROJA;AUTOPROTECCION;REINS;NEDGIA CATALUNYA;2.250,00 €;-   € ;37,5;23;0;54,75;146;0;0;0;0;0;0;0,25;31,5;0;0;0;0;0;0;0;0;0;0;;;EMAIL;13/03/2026;SI;31/03/2026;;2026001591;;;;
4156;T OV-20255745;T25-SIN-07-4133;PUNTUAL;oct-25;dic-25;RAP;RAP;*ACCIONA SIMULACRO SARRIGUREN 5 2025;IMPLANTACION;ACCIONA;ACCIONA ENERGIA;935,00 €;93,50 €;14,03;11;3,03;11;78,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;EMAIL;31/01/2026;SI;31/01/2026;;;;;;
4157;T OV-20255291;T20-SIN-10-0742;PUNTUAL;oct-25;dic-25;BRL;BRL;*REV FICHA ELECTROFILTRO AIALA VIDRALA;LOTO;IFAM;VIDRALA - AIALA;750,00 €;50,00 €;11,67;6,5;0;6,5;55,71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;26/02/2026;SI;28/02/2026;;2026001023;;;;
4158;T OV-20254974;T25-SIN-10-0147;PUNTUAL;oct-25;feb-26;BRL;IRE;*MAGOTTEAUX FICHAS LOTO FASE 2;LOTO;MAGOTTEAUX;MAGOTTEAUX;9.110,00 €;275,00 €;147,25;1;5;142,25;96,6;0;0;0;0;0;0;0;0;141,25;0;0;0;0;0;0;0;0;0;;;OF. FIRMADA;27/03/2026;SI;31/03/2026;;2026001808;;;;
4159;T OV-20254974;T25-SIN-10-0147;PUNTUAL;oct-25;abr-26;BRL;IRE;MAGOTTEAUX FICHAS LOTO FASE 3;LOTO;MAGOTTEAUX;MAGOTTEAUX;7.580,00 €;275,00 €;121,75;0;113,25;8,5;6,98;0;0;0;0;0;0;0;0;8,5;0;0;0;0;0;0;0;0;0;;;OF. FIRMADA;;NO;;;;;;;
4160;T OV-20254974;T25-SIN-10-0147;PUNTUAL;oct-25;jul-26;BRL;IRE;MAGOTTEAUX FICHAS LOTO FASE 4;LOTO;MAGOTTEAUX;MAGOTTEAUX;8.290,00 €;275,00 €;133,58;0;133,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;OF. FIRMADA;;NO;;;;;;;
4161;T OV-20255300;T25-SIN-10-1840;PUNTUAL;oct-25;dic-25;BRL;BRL;*THOR ESPECIALIDADES FICHAS DE BLOQUEO;LOTO;THOR ESPECIALIDADES;THOR ESPECIALIDADES;4.555,00 €;626,00 €;65,48;37,5;1,98;63,5;96,97;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;OF. FIRMADA;24/04/2026;SI;30/04/2026;;INGRESOS ANTICIPADOS ;;;;
4162;T OV-20255748;T24-SIN-02-1656;PUNTUAL;feb-26;abr-26;BLO;AEL;IARA VICARLI 2026;SEVESO;VICARLI;VICARLI;2.650,00 €;-   € ;44,17;0;41,17;3;6,79;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;AEL;;CLIENTE;;NO;;;;;;;
4163;T OV-20255658;T25-SIN-07-4105;PUNTUAL;oct-25;dic-25;CPV;CPV;AUTOPROTECCIÓN CANAL DE ISABEL II 2025;AUTOPROTECCION;CANAL DE ISABEL II;CANAL DE ISABEL II;14.500,00 €;2.541,00 €;199,32;2,5;196,82;2,5;1,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;NO;;;;;;;
4164;T OV-20254887;T25-SIN-05-4146;PUNTUAL;oct-25;feb-26;CPV;CPV;HAZOP IMPRENATION GRAFTECH;RIESGOS;GRAFTECH ;GRAFTECH;4.910,00 €;650,00 €;71;1,5;69,5;1,5;2,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BLO;;CLIENTE;;NO;;;;;;;
4166;T OV-20260652;T25-SIN-11-4410;PUNTUAL;nov-25;ene-26;AEL;AEL;*REV PAU BIOMASA LOGROSÁN;AUTOPROTECCION;ACCIONA GENERACION RENOVABLE;ACCIONA GENERACION RENOVABLE;2.400,00 €;120,00 €;38;35;3;35;92,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;27/02/2026;SI;28/02/2026;;;;;;
4167;T OV-20255904;T25-SIN-07-1664;PUNTUAL;oct-25;feb-26;RAP;RAP;*211 ME LUG RUA CHANTADA;AUTOPROTECCION;NATURGY;NATURGY ENERGY GROUP;1.850,00 €;185,00 €;27,75;20,5;7,25;20,5;73,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;22/04/2026;SI;30/04/2026;;2026002298;;;;
4168;T OV-20255646;T-24-SIN-02-3507;PUNTUAL;dic-25;dic-25;BLO;CPV;*SIM+DIV 2025 PEI;SEVESO;CERAMICAS MIRA;CERAMICAS MIRA;1.250,00 €;171,00 €;17,98;10,25;1,73;16,25;90,36;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;16/03/2026;SI;31/03/2026;;2026001593;;;;
4169;T OV-20255658;T25-SIN-07-4105;PUNTUAL;oct-25;nov-25;CPV;CPV;*PEI ETAP COLMENAR;AUTOPROTECCION;CANAL DE ISABEL II;CANAL DE ISABEL II;2.995,87 €;555,00 €;40,68;15,5;;15,5;38,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/03/2026;SI;31/03/2026;;2026001884;;;;
4170;T OV-20255658;T25-SIN-07-4105;PUNTUAL;nov-25;nov-25;CPV;CPV;*PEI ETAP MAJADAHONDA;AUTOPROTECCION;CANAL DE ISABEL II;CANAL DE ISABEL II;2.995,87 €;555,00 €;40,68;14;26,68;14;34,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/03/2026;SI;31/03/2026;;2026001884;;;;
4171;T OV-20255658;T25-SIN-07-4105;PUNTUAL;nov-25;dic-25;CPV;CPV;*PEI ETAP LA JAROSA ;AUTOPROTECCION;CANAL DE ISABEL II;CANAL DE ISABEL II;2.995,87 €;555,00 €;40,68;0;0;52,5;129,05;0;0;52,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/03/2026;SI;31/03/2026;;2026001884;;;;
4172;T OV-20255658;T25-SIN-07-4105;PUNTUAL;nov-25;dic-25;CPV;CPV;*PEI ETAP NAVACERRADA;AUTOPROTECCION;CANAL DE ISABEL II;CANAL DE ISABEL II;2.995,87 €;555,00 €;40,68;0;0;73,5;180,67;0;0;71,5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/03/2026;SI;31/03/2026;;2026001884;;;;
4173;;T15-SIN-08-00738;PUNTUAL;nov-25;;BLO;MMB;V542 MMB;;;;1.580,70 €;-   € ;26,35;41,75;0;84,25;319,8;0;0;0;0;0;0;0;42,5;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;SI;;;;;;;
4174;;T15-SIN-08-00738;PUNTUAL;nov-25;nov-25;BLO;CPV;V543 CPV;;;;429,20 €;-   € ;7,15;2,75;0;110,75;1548,23;0;0;106;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;PRW;;CLIENTE;;SI;;;;;;;
4176;T OV-20255782;T25-SIN-01-4317;PUNTUAL;oct-25;nov-25;ELA;BRL;*ACTUALIZACION DPCES OFMV (ESTAMCAL);ATEX;OMVP Iberia S.L.;OMVP Iberia S.L.;1.475,00 €;50,00 €;23,75;7;0,25;23,5;98,95;0;0;0;16,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;06/02/2026;SI;28/02/2026;;2026000847;;;;
4177;T OV-20256934;T19-SIN-07-0158;PUNTUAL;oct-25;dic-25;BLO;CPV;*SIM GNV MARENOSTRUM +;IMPLANTACION;NATURGY;NATURGY IBERIA;1.049,82 €;170,00 €;14,66;14,75;0;19,75;134,69;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;18/02/2026;SI;28/02/2026;;;;;;
4178;T OV-20256884;T19-SIN-07-0158;PUNTUAL;oct-25;nov-25;BLO;CPV;*SIM CCG PALAFOLLS +;IMPLANTACION;NATURGY;NATURGY IBERIA ;1.086,70 €;200,00 €;14,78;9,5;0;15,5;104,88;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;18/02/2026;SI;28/02/2026;;;;;;
4179;T OV-20256933;T19-SIN-07-0158;PUNTUAL;oct-25;dic-25;BLO;CPV;*SIM GNV ALBACETE + MALAGA +;IMPLANTACION;NATURGY;NATURGY IBERIA;1.824,39 €;300,00 €;25,41;20;0;30;118,08;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;18/02/2026;SI;28/02/2026;;;;;;
4181;T OV-20256026;T17-SIN-07-0497;PUNTUAL;nov-25;nov-25;CPV;BLO;*ESTUDIOS RIESGOS MTTS TP LOS BARRIOS (DISTANCIAS);;;;6.710,00 €;-   € ;111,83;17;94,83;17;15,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CPV;;CLIENTE;23/02/2026;SI;28/02/2026;;2026001179;;;;
4182;T OV-20252464D;T25-SIN-01-04329;PUNTUAL;may-25;nov-25;BRL;COLAB;Elaboración 3 DPCEX - Formación plantas;ATEX;PAPREC;PAPREC;14.280,00 €;6.895,71 €;123,07;0;123,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;SI;31/10/2025;;;;;;
4183;T OV-20254903;T20-SIN-10-0742;PUNTUAL;nov-25;nov-25;BRL;IRE;*VIDRALA SANTOS BAROSA MEZCLADORA Y FORMADORA DE PALETS;LOTO;IFAM;VIDRALA SANTOS BAROSA;2.250,00 €;-   € ;37,5;12;1,5;36;96;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;;;CLIENTE;28/02/2026;SI;28/02/2026;;2026001333;;;;
4184;T OV-20254904;T20-SIN-10-0742;PUNTUAL;nov-25;nov-25;BRL;IRE;*VIDRALA GALLO FORMADORA DE PALETS;LOTO;IFAM;VIDRALA GALLO;1.450,00 €;-   € ;24,17;13;5,67;18,5;76,55;0;0;0;0;0;0;0;0;5,5;0;0;0;0;0;0;0;0;0;;;CLIENTE;28/02/2026;SI;28/02/2026;;2026001334;;;;
4185;T OV-20256282;T25-SIN-08-0808;PUNTUAL;nov-25;nov-25;AEL;BLO;*FORMACION ONLINE MMPP;CSTMP;REGANOSA;REGANOSA;227,50 €;-   € ;3,79;5,25;0;5,25;138,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;30/01/2026;SI;31/01/2026;;2026000506;;;;
4186;T OV-20256285;T25-SIN-08-0808;PARADO;nov-25;dic-25;AEL;BLO;VISITA + FORMACION MMPP ADICIONAL;CSTMP;IMQ PREVENCION;H2SITE;855,00 €;74,00 €;13,02;0,25;0;0,25;1,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;;NO;;;;;;;
4187;T OV-20256009;T25-SIN-02-4487;PUNTUAL;nov-25;ene-26;BLO;LAR;NOTIFICACION AQUAPOOL;SEVESO;AQUAPOOL ;AQUAPOOL ;550,00 €;-   € ;9,17;0;5,17;4;43,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;CLIENTE;;NO;;;;;;;
4188;T OV-20256009;T25-SIN-02-4487;PUNTUAL;nov-25;ene-26;BLO;LAR;PEI AQUAPOOL;SEVESO;AQUAPOOL ;AQUAPOOL ;2.500,00 €;190,00 €;38,5;20,25;0;54,25;140,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;;;CLIENTE;;NO;;;;;;;
4189;T OV-20256009;T25-SIN-02-4487;PUNTUAL;nov-25;ene-26;BLO;LAR;IS AQUAPOOL;SEVESO;AQUAPOOL ;AQUAPOOL ;3.500,00 €;190,00 €;55,17;0;0;69,5;125,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69,5;0;;;CLIENTE;;NO;;;;;;;
4190;T OV-20256009;T25-SIN-02-4487;PUNTUAL;nov-25;ene-26;BLO;LAR;PPAG AQUAPOOL;SEVESO;AQUAPOOL ;AQUAPOOL ;850,00 €;190,00 €;11;1,5;3;8;72,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;0;;;CLIENTE;;NO;;;;;;;
4191;T OV-20255905;T25-SIN-05-04558;PUNTUAL;dic-25;ene-26;CPV;CPV;*HAZOP PLANTAS SATELITES GNL;RIESGOS;MOLGAS;MOLGAS;3.540,00 €;-   € ;59;4,5;26;33;55,93;0;0;28,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/03/2026;SI;31/03/2026;;2026001695;;;;
4192;T OV-20256026;T17-SIN 07-0497;PUNTUAL;nov-25;dic-25;CPV;CPV;*ESTUDIOS RIESGOS MTTS TP LOS BARRIOS (SIMOPS);;;;6.710,00 €;-   € ;111,83;17,75;94,08;17,75;15,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/02/2026;SI;28/02/2026;;2026001179;;;;
4193;T OV-20256838;T17-SIN 07-0497;PUNTUAL;nov-25;nov-25;DPV;DPV;*DIV CT SALINAS (PEI + SEVESO);AUTOPROTECCION;ENEL GREEN POWER;ENDESA GENERACION;800,00 €;-   € ;13,33;10,5;2,83;10,5;78,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;31/12/2025;SI;31/12/2025;;2025007387;;;;
4194;T OV-20256609;T17-SIN 07-0497;PUNTUAL;ene-25;feb-26;DPV;DPV;*DIV CT SON REUS x6;IMPLANTACION;ENEL GREEN POWER;ENDESA GENERACIÓN;2.400,00 €;-   € ;40;1;3;37;92,5;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;;;CLIENTE;09/03/2026;SI;31/03/2026;;;;;;
4195;T OV-20255744;T25-SIN-07-4862;PUNTUAL;dic-25;dic-25;RAP;RAP;*SIMULACROS HEINZ 2025;IMPLANTACION;HEINZ;HEINZ MANUFACTURING SPAIN;1.270,00 €;75,00 €;19,92;4,5;15,42;4,5;22,59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;31/01/2026;SI;31/01/2026;;2026000539;;;;
4196;T OV-20256370;T21-SIN-07-1092;PUNTUAL;nov-25;dic-25;DPV;DPV;*REV MENOR PAU CAMPO GIBRALTAR;AUTOPROTECCION;NUEVA GENERADORA DEL SUR, NGS;NUEVA GENERADORA DEL SUR, NGS;420,00 €;-   € ;7;5;2;5;71,43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;16/01/2026;SI;31/01/2026;;2026000155;;;;
4197;T OV-20260442;T25-SIN-07-4410;PUNTUAL;nov-25;dic-25;DPV;DPV;*REV PAU PE (LA ESPERANZA, CHAPARRO, VALPARDO, LES COMES, ZAMORA );AUTOPROTECCION;ACCIONA ENERGIA;ACCIONA ENERGIA;5.750,00 €;-   € ;95,83;12,5;63,83;32;33,39;0;0;0;0;0;1;0;0;0;0;0;0;0;18,5;0;0;0;0;;;CLIENTE;16/01/2026;SI;31/01/2026;;;;;;
4198;;T15-SIN-08-00738;PUNTUAL;nov-25;dic-25;BLO;PRW;V544 PRW;;;;8.555,80 €;687,00 €;131,15;65,5;57,15;74;56,43;0;0;0;0;0;0;0;0;0;0;0;0;8,5;0;0;0;0;0;;;CLIENTE;;SI;;;;;;;
4199;T OV-20256318;T25-SIN-01-4545;PUNTUAL;nov-25;ene-26;ELA;ELA;*ACTUALIZACIÓN DPCE ELECTROLIZADOR;ATEX;VISCOFAN;VISCOFAN;1.950,00 €;480,00 €;24,5;17,5;3;21,5;87,76;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;;;CLIENTE;30/01/2026;SI;31/01/2026;;2026000372;;;;
4200;T OV-20256081;T19-SIN-02-0844;PUNTUAL;nov-25;dic-25;BLO;LAR;*NOTIFICACIÓN CEUTA ALMACENAMIENTO;SEVESO;CEPSA;GASIB;355,00 €;-   € ;5,92;10,5;0;10,5;177,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;BLO;;CLIENTE;;NO;31/03/2026;;2026001701;;;;
4201;T OV-20256081;T19-SIN-02-0844;PUNTUAL;oct-25;ene-26;BLO;LAR;*PEI CEUTA ALMACENAMIENTO;SEVESO;CEPSA;GASIB;2.700,00 €;-   € ;45;0;0;55;122,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;BLO;;CLIENTE;;NO;31/03/2026;;2026001701;;;;
4202;T OV-20256081;T19-SIN-02-0844;PUNTUAL;oct-25;ene-26;BLO;LAR;*IS CEUTA ALMACENAMIENTO;SEVESO;CEPSA;GASIB;3.800,00 €;-   € ;63,33;0;0;87;137,37;0;0;0;0;0;0;0;0;0;0;29;0;0;30;0;0;28;0;BLO;;CLIENTE;;NO;31/03/2026;;2026001701;;;;
4204;T OV-20256026;T17-SIN 07-0497;PUNTUAL;nov-25;nov-25;CPV;CPV;*ESTUDIOS RIESGOS MTTS TP LOS BARRRIOS (HAZID);;;;6.710,00 €;-   € ;111,83;6;105,83;6;5,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/02/2026;SI;28/02/2026;;2026001179;;;;
4205;T OV-20256026;T17-SIN 07-0497;PUNTUAL;nov-25;nov-25;CPV;CPV;*ESTUDIOS RIESGOS MTTS TP LOS BARRIOS (HAZOP) ;;;;6.710,00 €;-   € ;111,83;4;107,83;4;3,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;CLIENTE;23/02/2026;SI;28/02/2026;;2026001179;;;;
4206;T OV-20256590;T22-SIN-07-1213;PUNTUAL;nov-25;ene-26;AEL;HMR;*PAU + PAIF + REG PFV CENTURION;AUTOPROTECCION;ENEL GREEN POWER;ENEL GREEN POWER;2.550,00 €;153,00 €;39,95;8,5;5,8;34,15;85,48;0;0;0;0;0;4,5;0;0;0;0;0;0;0;0;0;0;0;21,15;;;CLIENTE;27/02/2026;SI;28/02/2026;;;;;;
