Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
2005;;;MATRIZ;ene-25;dic-25;BLO;BLO;AUTOPROTECCION NEDGIA 2025;AUTOPROTECCION;NATURGY;NEDGIA;;;0;82,2;0;150,2;;0;0;0;0;0;0;10,75;2,25;0;0;0;0;21,5;0;0;0;33,5;0;PRW;;;;NO;;;;;;;
2006;;T25-SIN-07-03370;MATRIZ;ago-25;dic-26;CPV;;LICITACIÓN PAU CANAL ISABEL II 2025-2026;AUTOPROTECCION;CANAL ISABEL II;CANAL ISABEL II;;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3001;T OV-20260371;T26-SIN-08-0577;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP BIOMASA SANGÜESA (T OV-20255786);CSTMP;ACCIONA;ACCIONA GENERACION RENOVABLE;1.940,00 €;50,00 €;31,5;0;29,5;2;6,35;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3002;T OV-20260384;T26-SIN-08-0582;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP TERMOSOLAR ALVARADO 2026-2028;CSTMP;CONTOUR GLOBAL;TERMOSOLAR ALVARADO;3.160,00 €;400,00 €;46;0;34;12;26,09;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3003;T OV-20260387;T26-SIN-08-0583;ANUAL;ene-25;jun-26;AEL;AEL;*CSTMP TERMOSOLAR MAJADAS 2026-2028 PRIMER TRIMESTRE;CSTMP;CONTOUR GLOBAL;TERMOSOLAR MAJADAS;1.580,00 €;200,00 €;23;0;0;11;47,83;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/04/2026;SI;30/04/2026;;;;;;
3004;T OV-20256389;T26-SIN-08-0584;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP TERMOSOLAR PALMA DEL RIO 1 2026-2028;CSTMP;CONTOUR GLOBAL;TERMOSOLAR PALMA SAETILLA;1.320,00 €;200,00 €;18,67;0;7,17;11,5;61,61;0;0;0;0;0;11,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3005;T OV-20256389;T26-SIN-08-0584;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP TERMOSOLAR PALMA DEL RIO 2 2026-2028;CSTMP;CONTOUR GLOBAL;TERMOSOLAR PALMA SAETILLA;1.320,00 €;200,00 €;18,67;0;7,67;11;58,93;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3006;T OV-20260541;T26-SIN-08-0586;ANUAL;ene-26;dic-26;AEL;PRW;CSTMP ECOTOLOSA;CSTMP;ECOTOLOSA;ECOTOLOSA;1.790,00 €;0,00 €;29,83;0;18,83;11;36,87;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;;;;;NO;;;;;;;
3007;T OV-20260372;T26-SIN-08-0579;ANUAL;ene-25;dic-26;AEL;AEL;CSTMP BIOMASA BRIVIESCA (T OV-20255786);CSTMP;ACCIONA;ACCIONA GENERACION RENOVABLE;3.018,00 €;150,00 €;47,8;0;35,8;12;25,1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3008;T OV-20260373;T26-SIN-08-0580;ANUAL;ene-25;dic-26;AEL;AEL;CSTMP BIOMASA MIAJADAS  (T OV-20255786);CSTMP;ACCIONA;ACCIONA GENERACION RENOVABLE;3.018,00 €;400,00 €;43,63;0;26,38;17,25;39,53;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;2,25;;;;;NO;;;;;;;
3009;T OV-20260377;T26-SIN-08-0581;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP TERMOSOLAR ORELLANA 2026-2028;CSTMP;CONTOUR GLOBAL;TERMOSOLAR ORELLANA;3.160,00 €;400,00 €;46;0;45,5;0,5;1,09;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
