WEB;Nº TRABAJO;OFERTAS GESTIONA;EXPEDIENTES;TIPO EXP.;FECHA INICIO;F. FIN;TÉCNICO RBLE.;T1;SERVICIO ;TIPO SERVICIO;GRUPO;CLIENTE;PRESUPUESTO (M);GASTOS (N);IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;IGNORAR;T2;T3;IGNORAR;FECHA FINALIZACIÓN;VB CLIENTE;FECHA FACTURACION;OBSERVACIONES;Nº Fact;IGNORAR;GESTIONADO
Excel;Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;Mes;
